type,text
"Insult","You are proof that evolution can go in reverse."
"Insult","Unless your name is Google, stop acting like you know everything!"
"Insult","I know you are, but what am I?"
"Insult","Yeah? Well, you smell like hot dog water."
"Insult","Isn't it dangerous to use your whole vocabulary in one sentence?"
"Insult","Sorry, not sorry."
"Insult","If I had a dollar for every time you said something smart, I'd be broke."
"Insult","I do not consider you a vulture. I consider you something a vulture would eat."
"Insult","If I throw a stick, will you leave?"
"Insult","In the land of the witless, you would be king."
"Insult","I would prefer a battle of wits, but you appear unarmed."
"Insult","I like the way you try."
"Insult","I'm jealous of all the people who haven't met you."
"Insult","People clap when they see you. They clap their hands over their eyes."
"Insult","When I see your face, there's not a thing that I would change… except the direction I was walking in."
"Insult","You look like something I would draw with my left hand."
"Insult","I look ugly? Good. I was trying to look like you today."
"Insult","I would never date you. I'm lonely, not desperate."
"Insult","I don't have the patience or the crayons to explain this to you."
"Insult","My days of not taking you seriously are certainly coming to a middle."
"Insult","I'd say you're 'dumb as a rock,' but at least a rock can hold a door open."
"Insult","I bet your parents change the subject when their friends ask about you."
"Insult","You're a conversation starter. Not when you are around, but once you leave."
"Insult","First off: Brush your teeth."
"Insult","I find the fact that you've lived this long both surprising and disappointing."
"Insult","You're impossible to underestimate."
"Insult","You should carry a plant around with you to replace the oxygen you waste."
"Insult","Somewhere, somehow, you are robbing a village of their idiot."
"Insult","You are the reason why shampoo has instructions."
"Insult","I'd give you a nasty look, but you've already got one."
"Insult","Mister Rogers would be disappointed with you."
"Insult","If you were the light at the end of the tunnel, I'd turn back around."
"Insult","Were you born this stupid or did you take lessons?"
"Insult","You should really come with a warning label."
"Insult","I don't know what your problem is, but I'm guessing it's hard to pronounce."
"Insult","If I wanted to hear from an asshole, I'd fart."
"Insult","I will ignore you so hard you will start doubting your existence."
"Insult","Stupidity isn't a crime, so you're free to go."
"Insult","Too bad you can't Photoshop your ugly personality."
"Insult","Don't you get tired of putting makeup on your two faces every morning?"
"Insult","The people who tolerate you on a daily basis are the real heroes."
"Insult","You see that door? I want you on the other side of it."
"Insult","Please just tell me you don't plan to home-school your kids."
"Insult","If you're going to act like a turd, go lay on the yard."
"Insult","If ignorance is bliss, you must be the happiest person on the planet."
"Insult","Isn't there a bullet somewhere you could be jumping in front of?"
"Insult","Jesus might love you, but everyone else definitely thinks you're an idiot."
"Insult","You look like a 'before' picture."
"Insult","Good story, but in what chapter do you shut up?"
"Insult","May both sides of your pillow be uncomfortably warm."
"Insult","I am returning your nose. I found it in my business."
"Insult","What doesn't kill you, disappoints me."
"Insult","Jealousy is a disease. Get well soon."
"Insult","I could eat a bowl of alphabet soup and poop out a smarter statement than whatever you just said."
"Insult","Don't hate me because I'm beautiful. Hate me because your boyfriend thinks so."
"Insult","Your only purpose in life is to become an organ donor."
"Insult","Who ate your bowl of sunshine this morning, thundercloud?"
"Insult","Earth is full. Go home."
"Insult","You're about as useful as an ashtray on a motorcycle."
"Insult","There are some remarkably dumb people in this world. Thanks for helping me understand that."
"Insult","Aww, it's so cute when you try to talk about things you don't understand."
"Insult","You fear success, but you really have nothing to worry about."
"Insult","The last time I saw a face like yours, I fed it a banana."
"Insult","As an outsider, what do you think of the human race?"
"Insult","Don't feel bad. A lot of people have no talent."
"Insult","Don't try to think too hard. You're so stupid it might sprain your brain."
"Insult","Did your parents ever ask you to run away from home?"
"Insult","You're living proof it's possible to live without a brain."
"Insult","How much of a refund do you expect on your head, since it's empty?"
"Insult","Brains aren't everything. In your case, they're nothing."
"Insult","I have seen people like you. But I had to pay admission."
"Insult","Are you ever overwhelmed with the urge to tell someone to shut up? Because that's how I feel right now."
"Insult","Two wrongs don't make a right. Take your parents, for instance."
"Insult","I'd slap you but I don't want to make your face look any better."
"Insult","I will slap you so hard even Google won't be able to find you."
"Insult","One day, I hope you'll choke on the crap you talk."
"Insult","You have a face only a mother could love."
"Insult","If I said anything to offend you it was purely intentional."
"Insult","I hope your next blowjob is from a shark."
"Insult","You're a bad person. Enough said."
"Insult","You're the type of person who can't read the room. You don't understand when you aren't wanted."
"Joke","..A lady is having a bad day at the tables in Vegas. Down to her last $100, completely exasperated, she cries, ""What rotten luck! What in the world should I do now?""A gent next to her, trying to calm her down a bit, calmly suggests, ""I don't know... Why don't you play your age?""He walks away. Moments later, his he is intrigued to hear a great commotion at the roulette table. Maybe, she won!Rushing back to the table and pushing his way through the crowd, he is stunned to see the lady lying limp on the floor, with the table operator kneeling over her.He asks, ""What happened? Is she all right?""The operator replies, ""I don't know, buddy.... She put all her money on 29. When 36 came up she fainted!"""
"Joke","WARNING SIGNS THAT YOU MIGHT NEED A DIFFERENT LAWYER"
"Joke","One cold Winter day, a blonde decides she wants to take up ice fishing. When she gets to the pond, she begins to cut a hole in the ice. As she does, she hears a voice. ""There's no fish there..."". Puzzled, the blonde picks up her stuff and cuts another hole a few feet away. Again, she hears the voice. ""There's no fish there..."" The blonde is confused, but still determined. About 10 feet away, she begins to cut another ice hole. ""There's no fish there..."", she hears. She immediately turns her head to the sky and says, ""Is that you, God?"" ""NO! IT'S THE MANAGER OF THE ICE-SKATING RINK! THERE'S NO FISH THERE!"""
"Joke","Mr. Smith went to the Doctor's office to collect his wife's test results.The receptionist says, ""I'm sorry, sir, but there has been a bit of a mix-up and we have a problem. When we sent the samples from your wife to the lab, the samples from another Mrs. Smith were sent as well and we are now uncertain which one is your wife's. Frankly, that's either bad or terrible."" Mr. Smith says, ""What do you mean?"" The receptionist replies, ""Well, one Mrs. Smith has tested positive for Alzheimer disease and the other for AIDS. We cannot tell which is your wife."" Mr Smith exclaims, ""That's terrible! What am I supposed to do now?"" The receptionist calmly replies, ""The doctor recommends that you drop your wife off in the middle of town and if she finds her way home, don't go to bed with her."""
"Joke","A woman goes into the local newspaper office to see that the obituary for her recently deceased husband is written. The obituary editor informs her that the fee for the obituary is 50 cents a word. She pauses, reflects and then says, ""Well then, let it read: 'Fred Brown died.'"" Amused at the woman's thrift, the editor tells her that there is a 7 word minimum for all obituaries. Only a little flustered, she thinks things over and in a few seconds says, ""In that case, let it read: 'Fred Brown died: 1983 Pick-up for sale.'"""
"Joke","Q: How many Liberal Democrats does it take to change a light bulb ? A: None. ""Well it's not really a question of should we change it or should we not change the light bulb, but more a question of...(blah blah waffle)"""
"Joke","Yo mama is so fat that when she went dooky the whole world flooded & everyone had to live on a piece of poop!!"
"Joke","This guy had a very attractive wife, who was always wanting clothes, jewelry, etc., but he was not too well off. One day his wife came home with a diamond neckless. The guy asked: ""Where did you get that?"" His wife replied: ""I won it at bingo."" The next night she came home with a mink coat. The guy asked: ""Where did you get that?"" His wife replied: ""I won it at bingo."" The next night she came home with a Mercedes Benz. The guy asked: ""Where did you get that?"" His wife replied: ""I won it at bingo. Please go upstairs and run my bath for me."" His wife came upstairs to find a very small amount of water in the tub. The wife asked: ""How come you put so little water in the tub?"" The guy replied: ""I didn't want you to wet your bingo card""."
"Joke","Once upon a time there was a priest and a nun that were traveling on a camel. On a desert. Then in 3 months the camel dies. So the priest and the nun were stuck with each other alone. The priest find no other way to survive.So he says,"" I'm going to show you something that you never seen before."" So he pulls out his thing and says,""this is my tool of giving life."" So the nun says,""really then stick it in the camel so we can get the hell out of here."
"Joke","""The Bushes hosted their predecessors at the White House yesterday, for the official unveiling of Bill and Hillary Clinton's White House portraits. The occasion moved the current commander in chief to a rare show of gracious bi-partisanship. ... Bush then handed the mic over to Clinton. It's been a long time since this skilled orator spoke in the White House. I'm sure he's got some profound words to share ... [clip of Clinton: 'All those kind and generous things you said, made me feel like I was a pickle stepping into history.'] ... Uhhh, I don't get that at all. As a matter fact, if I remember correctly, your pickle's already stepped into history."" \u0097Jon Stewart"
"Joke","Priceline.com's stock soared and eBay created an entire new section on their online auction site to accommodate the US Congress' overhaul of campaign financial law. Senator John McCain, in a speech from Capitol Hill, praised his fellow Senators's choice to ""name your own price"" for Congressional influence. ""This is significant legislation that will turn around a stagnant economy by pouring millions into politicians' pockets."" In the new law, private citizens will be able to log onto Priceline.com and ""name their own price"" to influence a member of the House. Citizens wishing to purchase a Senator need to logon to Ebay. William Jefferson Clinton has replaced William Shatner as spokesman for the new Congressional Priceline. In an ""off-camera"" remark, as Mr. Clinton held his crotch, he said, ""This is going to be *big*, really *big*."""
"Joke","A man went camping in the woods by himself.He awoke early in the morning to hear a strange growling sound. He looked out to see a bear. He immediately began to run as fast as he could.The bear was gaining on him and he finally gave up hope, fell on his knees and said ""Oh God, please let this be a Christian bear!""He turned to see the bear on his knees saying ""Lord bless this food I am about to recieve..."""
"Joke","A three legged dog is walking down the middle of the road with a shotgun in his hand. When he was asked why he had a shotgun he said ""I'm looking for the man who shot my pa""."
"Joke","The phone rings at FBI headquarters. ""Hello?""""My neighbor John Smith is an enemy of the State. He is hiding undeclared diamonds in his woodshed. """"We'll take notice of this. ""The next day, the FBI goes to Smith's house. They search the shed where the firewood is kept, break every piece of wood, find no diamonds, apologize to Smith and finally leave. The phone rings at Smith's house. ""Hello, John! Did the FBI come?""""Yes. """"Did they break up your firewood?""""Yes, they chopped it like crazy. """"Okay, now it's your turn to call. I need my vegetable patch plowed. """
"Joke","Q: What is the difference between a pregnant woman and a light bulb? A: You can unscrew a light bulb."
"Joke","Jeff had been standing in hs dark and dank cellar for wellover and hour with his hands gripping a leaky pipe.The water spurtedbetween his fingers.His shoes were getting wetter and wetter.Suddenly he heard his wife's voice calling down the cellar door.""Honey, you can take your hands off that leak now!""""Why,"" yelled Jeff, ""did the plumber finally get here?""""No,"" responded his loving wife, ""the house is on fire."""
"Joke","Is your name Maple Syrup? It should be, you sap."
"Joke","When your pet bird sees you reading the newspaper, does he wonder why you're just sitting there, staring at carpeting?"
"Joke","Two Welshman walking across a field stumble upon a sheep with its head through a wire fence (it didn't have foot and mouth). The first Welshman drops his trousers and piles into the sheep for 10 mins. After he was finished he asked the second Welshman if he wanted a go?? The second Welshman dropped his trousers and stuck his head through the fence !"
"Joke","I heard that they tried to take an X-ray picture of your jaw, but all they got was a moving picture."
"Joke","There are three men in the woods. they are hunter, trapper, and stupid guy. Hunter goes out and comes back an hour later with a bear. Trapper asks ""how did you get that?"" Hunter says me find tracks, me follow tracks, me find bear, me shoot bear, bear stop."" Trapper goes out and comes back an hour later with a deer. Stupid guy asks ""how did you get that?"" Trapper says"" me find tracks, me follow tracks, me find deer, me shoot dear, dear stop."" Stupid guy goes out and comes back two hours later bruised and nearly dead with broken limbs. Hunter and trapper ask ""What happened to you?"" stupid guy says ""me find tracks, me follow tracks, me find train, me shoot train, train don't stop."""
"Joke","TRUE BLONDEA young brunette goes into the doctors office and says that her body hurts whever she touches it. ""Impossible"", says the doctor. ""show me"".She takes her finger and pushes her elbow and screams in agony.She pushes her knee and screams, she pushes her ankle and screams and so it goes on, everywhere she touches make her scream.The doctor says, ""Your not really a brunette, are you?""No, im a blonde, she says.""I though so"", he says. ""Your finger is broken."""
"Joke","A psychiatrist met a friend and exclaimed, ""I heard you died."" ""But you see I'm alive ,"" smiled the friend.""Impossible,"" said the psychiatrist, ""the man who told me is much more reliable than you."""
"Joke","A lawyer defending a man accused of burglary tried this creative defense: ""My client merely inserted his arm into the window and removed a few trifling articles. His arm is not himself, and I fail to see how you can punish the whole individual for an offense committed by his limb."" ""Well put,"" the judge replied. ""Using your logic, I sentence the defendant's arm to one year's imprisonment. He can accompany it or not, as he chooses."" The defendant smiled. With his lawyer's assistance he detached his artificial limb, laid it on the bench, and walked out."
"Joke","A diner was agitated that the waiter had brought him no spoon with his coffee. ""This coffee,"" he said loud enough for most of the other patrons to hear, ""is going to be pretty hot to stir with my fingers."" The waiter reddened, made a hasty retreat to the kitchen and returned shortly with another cup of coffee. ""This one isn't so hot, sir,"" he beamed."
"Joke","A blonde was bragging about her knowledge of state capitals. She proudly says, ""Go ahead, ask me, Iknow all of them."" A friend says, ""OK, what's the capital of Wisconsin?"" The blonde replies, ""Oh, that's easy: W."""
"Joke","A Marine colonel on his way home from work at the Pentagon came to a dead halt in traffic and thought to himself, ""Wow, this traffic seems worse than usual. Nothing's even moving.""He notices a police officer walking back and forth between the lines of cars so he rolls down his window and asks, ""Excuse me, Officer, what's the hold up?""The Officer replies, ""President Bush is just so depressed about being behind in the polls that he stopped his motorcadein the middle of the Beltway and he's threatening to douse himself in gasoline and set himself on fire. He says he can't find donators to give him money for his campaign. I'm walking around taking up a collection for him.""""Oh really? How much have you collected so far?""""So far only about three hundred gallons, but I've got a lot of folks still siphoning!"""
"Joke","You may be a redneck if:Your porch collapses and more than six dogs dieYou mow your lawn and find a carYou consider a family reunion as a chance to meet ""Ms. Right""You grab your boots a jacket and a flashlight to go to the bathroomYour idea of ""safe sex"" is locking the car door"
"Joke","Q:What do you call something that is 12 inches long and hangs infront of an arsehole?A:Tony Blair's TIE!!"
"Joke","Little Johnny's father asked him, ""Do you know about the birds and the bees?"" ""I don't want to know!"" little Johnny said, bursting into tears. Confused, the father asked little Johnny what was wrong. ""Oh dad,"" Little Johnny sobbed, ""At age six I got the 'there's no Santa' speech. At age seven I got the 'there's no Easter bunny' speech. Then at age 8 you hit me with the 'there's no tooth fairy' speech! If you're going to tell me now that grown-ups don't really have sex, I've got nothing left to live for!"""
"Joke","This guy walks into a bar and ask the bar tender for a drink. He gets his drink and minds his own business and looks up and down the bar. To his amazement, he is stunned to see a 10' pianist on top of the bar. ""Hey bartender,"" he says...""What is that 10' pianist doing on top of your bar?"" ""Well, you see this lamp?"" asks the bartender. ""Rub this lamp and you can make a wish, and you will see why I have a 10' pianist on the bar."" So the man rubs the lamp and he wishes for a million bucks. All of a sudden, the doors pop open and a million ducks come flying into the bar. ""Hey wait a minute!"" says the man. ""I wished for a million bucks not a million ducks."" The bartender looks at him and says...""I didn't want a 10' pianist either."""
"Joke","After a particularly poor game of golf, a popular club member skipped the clubhouse and started to go home. As he was walking to the parking lot to get his car, a policeman stopped him and asked, ""Did you tee off on the sixteenth hole about twenty minutes ago?"" ""Yes,"" the golfer responded. ""Did you happen to hook your ball so that it went over the trees and off the course?"" the cop asked. ""Yes, I did. How did you know?"" the golfer asked. ""Well,"" said the policeman very seriously, ""Your ball flew out onto the highway and crashed through a driver's windshield. The car went out of control, crashing into five other cars and a fire truck. The fire truck couldn't make it to the fire, and the building burned down. So, what are you going to do about it?"" The golfer thought it over carefully and responded, ""I think I'll close my stance a little bit, tighten my grip and lower my right thumb."""
"Joke","A few weeks before his death, Orson Welles was talking to his friend and fellow film director Henry Jaglom about Welles' landmark movie, Citizen Kane. ""Make me one promise,"" he told Jaglom, ""Keep Ted Turner and his goddamned crayolas away from my movie."" Fortunately, when the movie was made, Welles had negotiated a contract with RKO studios giving him complete and absolute control over every aspect of production, including colour \u0096 or lack thereof. Although he wanted to, Turner never got a chance to colourize Citizen Kane."
"Joke","A young man hired by a supermarket reported for his first day of work. The manager greeted him with a warm handshake and a smile, gave him a broom and said, ""Your first job will be to sweep out the store.""""But I'm a college graduate,"" the young man replied indignantly.""Oh, I'm sorry. I didn't know that,"" said the manager. ""Here, give me the broom - I'll show you how."""
"Joke","A drunk phoned police to report that thieves had been in his car. ""They've stolen the dashboard, the steering wheel, the brake pedal, even the accelerator!"" he cried out. However, before the police investigation could start, the phone rang a second time with the same voice came over the line. ""Never mind,"" he said with a hiccup, ""I got in the back seat by mistake."""
"Joke","Q: How many jugglers does it take to change a light bulb? A: One, but it takes at least three light bulbs."
"Joke","A linguistics professor was lecturing to his class one day. ""In English,"" he said, ""A double negative forms a positive. In some languages, though, such as Russian, a double negative is still a negative. However, there is no language wherein a double positive can form a negative. ""A voice from the back of the room piped up, ""Yeah, right. """
"Joke","On the first day of college, the Dean addressed the students, pointing out some of the rules. ""The female dormitory will be out-of-bounds for all male students, and the male dormitory to the female students. Anybody caught breaking this rule will be fined $40 the first time.""He continued, ""Anybody caught breaking this rule the second time will be fined $90. Being caught a third time will incur a hefty fine of $200. Are there any questions?""At this, a male student in the crowd inquires, ""How much for a season pass?"""
"Joke","A man is out shopping and discovers a new brand of Olympic condoms. Clearly impressed, he buys a pack. Upon getting home he announces to his wife the purchase he just made. 'Olympic condoms?', she blurts, 'What makes them so special?' 'There are three colours', he replies, 'Gold, Silver and Bronze.' 'What colour are you going to wear tonight?', she asks cheekily. 'Gold of course', says the man proudly. The wife responds, 'Really, why don't you wear Silver: it would be nice if you came second for a change!'."
"Joke","One day a blonde is hiking in the woods. She follows the trail until she comes upon a river. As she is thinking how she can get across the river; another blonde appears on the opposite side.The blonde yells to the other blonde ""How do I get to the other side?""The other blonde looks up and then down the river and yells back:""You are on the other side!"""
"Joke","Two guys are drinking together at a bar and go into the bathroom. Standing at the latrine, Bill notices that his buddy is very well endowed. ""Wasn't always that way,"" the buddy says. ""It's a transplant. I had it done over on Harley Street. It cost a thousand bucks, but as you can see, it's well worth every cent."" So Bill visits the doctor on Harley Street that day. Six months later, the two guys meet up again at the bar. Bill explains, ""I took your advice, but you were robbed. I got mine for $500, not a thousand."" They go back to the restroom to compare. ""No wonder,"" his buddy says, ""That's my old one!""."
"Joke","A very well endowed young lady went to the doctor for her annual check up. The doctor told her to remove her clothes and get up on the examining table. Shyly, she said to him, ""Oh doctor, I just couldn't undress in front of you."" ""Ok. I'll turn off the lights for you, you undress, then tell me when you're ready,"" the doctor said. A few moments later, she called out, ""I've undressed, doctor. What shall I do with my clothes?"" ""Just place them on the chair, on top of mine."""
"Joke","A mortician was working late one night. It was his job to examine the dead bodies before they were sent off to be buried or cremated. As he examined the body of Bernie Schwartz, who was about to be cremated, he made an amazing discovery: Bernie Schwartz had the longest member he had ever seen! ""I'm sorry Mr. Schwartz,"" said the mortician, ""But I can't send you off to be cremated with a tremendously huge thing like this. It has to be saved for posterity."" And with that the coroner used his tools to remove the dead man's schlong. The coroner stuffed his prize into a briefcase and took it home. The first person he showed was his wife. ""I have something to show you that you won't believe,"" he said, and opened his briefcase. ""Oh my god!"" she screamed, ""Bernie Schwartz is dead!"""
"Joke","A man takes his wife to the live stock show. They start heading down the alley that houses all the bulls. The sign on the first bull's stall states: ""This bull mated 50 times last year."" The wife turns to her husband and says, ""He mated 50 times in a year, isn't that nice!"" They proceed to the next bull and his sign stated: ""This bull mated 65 times last year."" The wife turns to her husband and says, ""This one mated 65 times last year. That is over 5 times a month. You could learn from this one!"" They proceeded to the last bull and his sign said: ""This bull mated 365 times last year."" The wife's mouth drops open and says, ""WOW! He mated 365 times last year. That is ONCE A DAY!!! You could really learn from this one."" The fed up man turns to his wife and says, ""Go up and inquire if it was the same old cow every day."""
"Joke","Q: How many data base people does it take to change a light bulb? A: Three: One to write the light bulb removal program, one to write the light bulb insertion program, and one to act as a light bulb administrator to make sure nobody else tries to change the light bulb at the same time."
